keyword,category
MERCURE,Lodging
MARRIOTT,Lodging
HYATT,Lodging
RADISSON,Lodging
LEMON TREE,Lodging
GINGER,Lodging
OYO,Lodging
TAJ ,Lodging
HOTEL,Lodging
AIRTEL,IT and Internet Expenses
BHARTI,IT and Internet Expenses
JIO,IT and Internet Expenses
VODAFONE,IT and Internet Expenses
ACT FIBERNET,IT and Internet Expenses
TATA PLAY,IT and Internet Expenses
UBER,Travel Expense
OLA ,Travel Expense
RAPIDO,Travel Expense
IRCTC,Travel Expense
REDBUS,Travel Expense
MAKEMYTRIP,Travel Expense
INDIGO,Travel Expense
AIR INDIA,Travel Expense
DCC FEE,Bank Fees and Charges
IGST,Bank Fees and Charges
REWARD REDEMPTION,Bank Fees and Charges
HANDLING FEE,Bank Fees and Charges
REFUND AMT TRANSFER,Bank Fees and Charges
FINANCE CHARGE,Bank Fees and Charges
LATE PAYMENT,Bank Fees and Charges
DMART,Office Supplies
RELIANCE SMART,Office Supplies
STAPLES,Office Supplies
LINKEDIN,Software expenses
MICROSOFT,Software expenses
AMAZON WEB SERVICES,Software expenses
AWS,Software expenses
AMAZONIN,Software expenses
ASSPL,Software expenses
GOOGLE,Software expenses
OPENAI,Software expenses
CHATGPT,Software expenses
ANTHROPIC,Software expenses
GROQ,Software expenses
ADOBE,Software expenses
ATLASSIAN,Software expenses
TRELLO,Software expenses
ZOHO,Software expenses
LUSHA,Software expenses
HIGGSFIELD,Software expenses
LOVABLE,Software expenses
HOTSTAR,Software expenses
TIMES PRIME,Software expenses
INF*PRIME,Software expenses
NETFLIX,Software expenses
NOTION,Software expenses
FIGMA,Software expenses
SLACK,Software expenses
GITHUB,Software expenses
CURSOR,Software expenses
VERCEL,Software expenses
RAZ*,Software expenses
